date,open,high,low,close,volume
2017-01-03,45.1017,45.9069,44.9151,45.6516,1739726
2017-01-04,46.0837,46.5255,45.9719,46.2506,1821264
2017-01-05,46.2015,46.2211,45.519,45.7007,1503763
2017-01-06,45.7891,47.2031,45.7203,47.1245,2883483
2017-01-09,47.1442,47.6794,47.0411,47.2718,2575328
2017-01-10,47.4682,47.6646,46.9576,47.2326,1560549
2017-01-11,47.1638,48.5877,47.0853,48.3618,5624332
2017-01-12,48.0181,48.0181,47.1147,47.645,3276952
2017-01-13,47.7235,47.969,47.537,47.8119,1568923
2017-01-17,47.4977,47.8365,47.3062,47.4486,1939449
2017-01-18,47.7923,47.8512,47.1344,47.3799,1523508
2017-01-19,47.1736,47.2227,46.6532,46.7809,1346142
2017-01-20,46.9674,47.0656,46.5588,46.7612,1701695
2017-01-23,46.7416,46.9674,46.3782,46.5354,2013878
2017-01-24,46.9085,47.3406,46.2015,46.4961,2741915
2017-01-25,46.7416,47.5468,46.555,47.537,3073228
2017-01-26,47.5468,47.5566,47.0509,47.3013,1895562
2017-01-27,47.4486,47.9445,47.4289,47.7726,1527822
2017-01-30,47.6057,47.6744,46.5305,46.8103,2266487
2017-01-31,47.1736,48.2587,47.1442,48.0869,2552612
2017-02-01,48.0476,48.9117,47.8021,48.3716,2244604
2017-02-02,47.9985,48.1163,47.5959,48.0181,1352525
2017-02-03,48.2047,48.5778,48.1752,48.4895,1191855
2017-02-06,48.244,48.4895,48.077,48.3815,952095
2017-02-07,48.5288,48.8823,48.3716,48.7448,2170720
2017-02-08,48.4797,49.1277,48.3422,49.0296,2107079
2017-02-09,49.1965,49.8839,49.0983,49.5598,2557747
2017-02-10,49.5991,49.6776,49.1179,49.4518,2092479
2017-02-13,49.7169,49.9722,49.5107,49.6089,1568350
2017-02-14,49.334,49.766,49.1867,49.4813,3546878
2017-02-15,50.2177,50.9051,49.7071,50.6891,5724488
2017-02-16,50.748,50.748,49.6482,49.9231,2550439
2017-02-17,49.7366,50.7087,49.6678,50.6989,2195788
2017-02-21,50.7284,50.8658,50.2472,50.4239,2036993
2017-02-22,50.3847,50.7902,50.2668,50.4141,1632886
2017-02-23,50.5123,50.6694,50.2766,50.5418,1006867
2017-02-24,50.4534,50.8953,50.4043,50.8069,1612698
2017-02-27,50.8069,51.0033,50.532,50.7284,1195138
2017-02-28,50.5909,50.7185,50.3061,50.3748,1417772
2017-03-01,50.6891,51.3175,50.6891,51.1015,2026600
2017-03-02,51.1015,51.1408,50.4043,50.4534,1706500
2017-03-03,50.4534,51.1015,50.2276,51.0426,1824423
2017-03-06,50.7087,50.8855,50.2521,50.3257,1884477
2017-03-07,50.1392,50.5172,49.9428,50.2865,2233561
2017-03-08,50.3356,50.6351,50.0312,50.4829,1517642
2017-03-09,50.4927,50.6498,50.2079,50.5025,1259407
2017-03-10,50.7578,51.4108,50.5516,51.2095,1860508
2017-03-13,51.1997,51.5139,51.0524,51.5041,1376191
2017-03-14,51.2979,51.3175,51.0229,51.2684,1203368
2017-03-15,52.3486,53.8314,52.0638,53.1243,4117983
2017-03-16,52.4664,53.0753,51.8773,52.0933,2676915
2017-03-17,52.1031,52.5646,51.9656,52.3486,1936902
2017-03-20,52.3682,52.6628,52.0442,52.1915,1221409
2017-03-21,52.3191,52.7645,51.5336,51.7103,1492698
2017-03-22,51.838,52.5057,51.7005,52.1718,1257072
2017-03-23,52.0835,52.8101,51.7692,52.2209,1717929
2017-03-24,53.0753,53.0753,51.8871,52.1227,2015289
2017-03-27,51.6514,52.3781,51.4746,52.2799,1446568
2017-03-28,52.329,52.6432,52.1375,52.4763,1312688
2017-03-29,52.2995,52.4566,51.8282,52.162,1469882
2017-03-30,52.1031,52.4615,51.946,52.3584,1627592
2017-03-31,52.2423,52.3998,51.9863,52.0454,1705625
2017-04-03,52.0749,52.3801,51.9076,52.3702,1550227
2017-04-04,52.3702,52.4096,51.6615,51.7993,2017094
2017-04-05,51.8977,52.3899,51.8731,51.8879,1778251
2017-04-06,51.878,52.3998,51.4449,52.321,1548170
2017-04-07,52.2423,52.2423,51.878,52.0159,1243550
2017-04-10,52.0749,52.4293,51.8584,51.8977,1025248
2017-04-11,51.878,52.0749,51.5532,52.006,1520703
2017-04-12,52.0257,52.2029,51.6516,51.7304,1258152
2017-04-13,51.6123,51.9174,51.4941,51.5138,863990
2017-04-17,51.8091,52.8674,51.6123,52.6262,1569436
2017-04-18,52.1931,52.764,51.8584,52.2029,1241164
2017-04-19,52.5179,52.5868,52.1242,52.2423,2096351
2017-04-20,52.4982,52.5671,51.9666,52.3013,1569985
2017-04-21,52.4293,52.5573,52.0158,52.4392,2189351
2017-04-24,53.0889,53.6746,53.0692,53.5909,2257682
2017-04-25,53.8961,54.3292,53.6598,53.9551,2181857
2017-04-26,54.1422,54.467,53.9502,53.9748,1834961
2017-04-27,54.0733,54.6393,53.9748,54.5655,1529024
2017-04-28,54.4473,54.4867,53.9798,54.1914,3078163
2017-05-01,54.6344,55.1167,54.4966,54.9297,1897018
2017-05-02,54.9789,55.097,54.6442,55.0577,1693069
2017-05-03,54.8116,55.3801,54.7427,55.2841,1702565
2017-05-04,55.3235,55.8649,55.2841,55.8157,2615560
2017-05-05,55.9633,56.0716,55.7074,55.7566,1571536
2017-05-08,55.7664,55.9338,55.0577,55.4416,2189984
2017-05-09,55.54,56.0027,55.4121,55.983,1559975
2017-05-10,55.9633,56.0519,55.2053,55.3924,1566289
2017-05-11,55.2546,55.5007,54.9297,55.353,1347633
2017-05-12,55.2841,55.5203,55.0872,55.2841,1578292
2017-05-15,55.1955,55.8747,55.1364,55.8157,1472226
2017-05-16,57.4695,57.4695,55.5696,55.9436,1032600
2017-05-17,55.4317,55.4908,54.8017,54.9002,1839737
2017-05-18,55.0281,55.3924,54.7328,54.9789,1934996
2017-05-19,55.2152,55.4416,54.9888,55.2546,1654441
2017-05-22,55.6385,55.6385,54.9789,55.2053,4264780
2017-05-23,58.8673,59.0445,57.0954,57.7451,7510578
2017-05-24,57.5876,58.4145,57.1668,58.3062,4105470
2017-05-25,58.6015,58.7689,58.001,58.3751,2772812
2017-05-26,58.3062,58.7886,58.1202,58.5818,1535237
2017-05-30,58.6114,59.5367,58.4834,59.4284,2576416
2017-05-31,58.5228,59.8616,58.5228,59.3989,2552411
2017-06-01,59.074,59.8222,58.8772,59.7828,2100441
2017-06-02,59.8517,60.1963,59.8123,59.8616,1666245
2017-06-05,59.8517,59.8911,59.389,59.458,1473282
2017-06-06,59.202,59.6007,59.1626,59.1626,1968022
2017-06-07,59.3201,59.8173,59.0445,59.6844,1617604
2017-06-08,59.6745,59.7779,58.7787,59.2119,3486602
2017-06-09,59.3694,59.5072,58.2078,58.2865,2352814
2017-06-12,58.2176,58.4834,57.0166,58.0699,2579658
2017-06-13,58.1487,58.7098,58.0109,58.3554,1527210
2017-06-14,58.6114,58.8476,58.129,58.4539,1203468
2017-06-15,58.2964,58.3653,57.9026,58.2865,1092596
2017-06-16,58.444,58.8575,58.3111,58.5818,2157514
2017-06-19,58.6507,59.7237,58.6507,59.6056,2383659
2017-06-20,59.6056,59.9698,59.3546,59.389,1821710
2017-06-21,59.3694,59.5859,58.7393,58.8575,2247944
2017-06-22,59.0051,59.8517,58.6803,59.6647,3473861
2017-06-23,59.645,59.645,58.5721,58.8378,2879785
2017-06-26,58.8575,59.015,58.2275,58.316,1535542
2017-06-27,58.2078,58.6409,57.9223,57.9617,1060391
2017-06-28,58.3456,58.7689,58.2767,58.4735,1191537
2017-06-29,58.5544,58.8307,57.706,58.0118,1357538
2017-06-30,58.2091,58.7715,58.0463,58.515,1593786
2017-07-03,58.7912,59.176,58.3374,58.3374,1489574
2017-07-05,58.3966,59.2451,58.3966,58.9688,1638980
2017-07-06,58.663,58.9688,58.2782,58.4262,2249516
2017-07-07,58.732,59.2648,58.5347,58.8307,965439
2017-07-10,58.6827,59.2401,58.584,59.0576,1146033
2017-07-11,59.1859,59.3536,58.663,58.9984,2976519
2017-07-12,59.5213,60.1725,59.3536,59.9159,1439395
2017-07-13,60.429,60.4882,59.8567,60.3698,2060109
2017-07-14,60.4586,60.8285,60.0985,60.6953,1286073
2017-07-17,60.7743,61.0111,60.577,60.7249,1332751
2017-07-18,60.6066,60.7151,60.133,60.3895,1520122
2017-07-19,60.498,60.8137,60.35,60.5572,1512177
2017-07-20,60.6263,60.7249,59.9949,60.1626,2009405
2017-07-21,60.0146,60.7743,59.9455,60.5474,1283236
2017-07-24,60.5572,60.7545,60.429,60.6756,973808
2017-07-25,60.7447,60.8335,59.5706,59.7285,1691988
2017-07-26,59.768,59.9949,58.5939,58.9195,2520698
2017-07-27,59.0181,59.4325,58.8011,59.1069,1944962
2017-07-28,59.1069,59.4226,58.811,59.2747,1236434
2017-07-31,59.5114,59.8074,58.9589,58.9885,1043729
2017-08-01,59.2352,59.4817,59.0033,59.1365,1324251
2017-08-02,59.1957,59.5213,58.7222,59.393,1121566
2017-08-03,59.3437,59.6298,59.1661,59.5608,983246
2017-08-04,59.7088,59.9258,59.2056,59.324,778762
2017-08-07,59.3536,60.0738,59.2007,60.0541,975738
2017-08-08,59.8567,60.1626,59.2747,59.3338,1162440
2017-08-09,59.2648,59.4226,58.584,58.88,1965048
2017-08-10,58.5544,58.7024,57.4396,57.7849,2471473
2017-08-11,57.9132,58.8997,57.9033,58.5347,1511552
2017-08-14,58.9984,59.2352,58.7518,58.8208,2409765
2017-08-15,58.8997,59.0773,58.3177,58.584,2933295
2017-08-16,61.3169,61.5833,59.9455,61.307,6892023
2017-08-17,61.1689,61.238,59.9653,60.0442,3501640
2017-08-18,59.9455,60.8927,59.472,60.429,2357872
2017-08-21,60.2711,61.1689,60.1429,60.9124,1486144
2017-08-22,61.0407,62.1752,61.0209,62.116,1666369
2017-08-23,61.8793,62.5156,61.7609,61.9286,1445677
2017-08-24,62.0273,62.3035,61.5142,61.8398,1584503
2017-08-25,62.2147,62.2936,61.8299,62.0569,1352761
2017-08-28,62.2542,62.7228,62.1259,62.6093,1290434
2017-08-29,62.195,62.7771,62.1762,62.6389,1206649
2017-08-30,62.5502,63.073,62.5403,63.0434,1072530
2017-08-31,63.1421,63.961,63.0434,63.8525,1930071
2017-09-01,64.03,64.3063,63.3493,63.517,1224667
2017-09-05,63.1618,63.6157,62.9547,63.4282,910613
2017-09-06,63.6946,63.9412,63.1914,63.8426,974511
2017-09-07,63.9807,64.3704,63.6255,64.2668,1075757
2017-09-08,64.2767,64.7996,63.961,64.1484,1588439
2017-09-11,64.622,65.3817,64.5036,65.2238,1770025
2017-09-12,65.3817,65.5297,65.0068,65.2534,1082149
2017-09-13,65.0265,65.3323,64.5332,64.5628,2042563
2017-09-14,64.4345,64.987,64.2866,64.7996,1481022
2017-09-15,64.7996,65.2436,64.7404,65.0758,2295974
2017-09-18,65.2041,65.4113,64.8193,65.1942,1562007
2017-09-19,65.3619,65.5593,65.1153,65.283,1238004
2017-09-20,65.4211,65.4705,64.8884,65.2041,1186007
2017-09-21,64.9969,65.2534,64.7503,65.0364,874785
2017-09-22,64.9673,65.3817,64.8292,64.8982,1296244
2017-09-25,64.918,65.0166,63.5762,63.8623,1841833
2017-09-26,63.7834,64.03,63.0533,63.2506,1615338
2017-09-27,63.4085,63.7933,63.1914,63.5269,1272526
2017-09-28,63.3888,63.7538,63.1125,63.1224,1126243
2017-09-29,63.1421,63.4134,62.8659,63.3394,1672816
2017-10-02,63.5589,64.33,63.4798,64.1323,1693854
2017-10-03,64.3201,65.032,64.3201,64.4091,1216981
2017-10-04,64.4091,65.1209,64.4091,65.0814,745628
2017-10-05,65.1012,65.2396,64.7749,64.9529,1974081
2017-10-06,64.9331,65.6251,64.9133,65.6054,1405100
2017-10-09,65.7339,66.0107,65.2692,65.8031,1542307
2017-10-10,65.9217,66.0997,65.4669,65.8426,1143075
2017-10-11,65.9217,66.2084,65.5856,65.8624,1794800
2017-10-12,65.8921,66.8313,65.7833,66.7719,1454994
2017-10-13,66.8609,67.0488,66.1293,66.2282,943164
2017-10-16,66.4358,66.6039,66.0107,66.1491,1473459
2017-10-17,65.9217,65.9217,65.2396,65.3681,1711833
2017-10-18,65.6251,65.8278,65.3187,65.6844,1150468
2017-10-19,65.6844,66.2134,65.3088,66.1194,1359119
2017-10-20,66.4259,66.7621,66.3073,66.4852,1506112
2017-10-23,66.683,66.9103,66.1689,66.2579,1267570
2017-10-24,66.5446,66.7818,66.1194,66.5544,1975704
2017-10-25,67.1278,67.7408,66.2677,66.6236,1590537
2017-10-26,66.7621,67.0586,66.4358,66.94,1418152
2017-10-27,67.0389,67.2366,66.6434,67.197,1440996
2017-10-30,67.029,67.1575,66.3369,66.7225,846605
2017-10-31,66.9697,67.3948,66.7719,67.2564,1614432
2017-11-01,67.4244,67.6617,67.0685,67.2465,1357998
2017-11-02,67.3058,67.6024,67.0389,67.3552,1856865
2017-11-03,67.3157,67.8891,67.2366,67.5925,1072288
2017-11-06,67.4936,67.6716,67.0982,67.4442,995731
2017-11-07,67.5431,67.8594,67.2663,67.4739,956466
2017-11-08,67.3256,67.553,67.0003,67.3355,977616
2017-11-09,67.1476,67.2069,66.1491,66.7027,1665042
2017-11-10,68.4328,68.6998,68.3834,68.5218,1439275
2017-11-13,65.6943,66.6236,65.4966,66.3666,1536388
2017-11-14,66.2183,67.029,66.1293,66.6928,2426247
2017-11-15,66.5248,66.7917,66.1491,66.5446,2042296
2017-11-16,66.7324,68.1659,66.683,67.9583,2300408
2017-11-17,67.7507,68.3043,67.5134,68.0077,1823122
2017-11-20,68.4921,69.4313,68.1659,69.1644,4143453
2017-11-21,69.2534,70.0048,66.9301,69.115,5330554
2017-11-22,68.3537,68.5811,67.5233,67.9089,3041728
2017-11-24,68.0572,68.6009,67.9978,68.5712,1015411
2017-11-27,68.4328,68.6998,68.3834,68.5218,1439275
2017-11-28,68.769,70.1234,68.6306,69.7873,2473433
2017-11-29,69.6983,70.0344,67.6716,67.9089,1904175
2017-11-30,68.1857,68.7986,67.4343,68.4526,1922514
2017-12-01,68.4032,69.204,66.4655,67.9089,2516564
2017-12-04,68.156,68.3834,65.4274,65.4867,2899424
2017-12-05,65.4472,66.2381,64.9825,65.0814,2383974
2017-12-06,65.1308,65.4966,64.855,65.1407,1690108
2017-12-07,65.1605,66.1205,65.0221,65.9514,2294513
2017-12-08,66.1788,66.7787,65.8943,66.6138,2195577
2017-12-11,66.6632,66.9795,65.724,66.2381,2438556
2017-12-12,66.2381,66.3963,65.7438,66.2974,2180984
2017-12-13,66.4655,66.8906,65.8822,65.9217,1684618
2017-12-14,66.1689,66.3271,65.6152,65.7536,1774564
2017-12-15,66.1194,67.0883,65.9316,66.8411,2871925
2017-12-18,67.464,67.7309,66.7126,66.8906,2306264
2017-12-19,66.94,67.2761,66.7225,66.9795,1469439
2017-12-20,67.2663,67.3651,66.3963,66.6335,1363529
2017-12-21,66.8115,67.0982,66.5029,66.7522,1502218
2017-12-22,66.6928,66.7718,66.0997,66.5841,1221315
2017-12-26,66.5446,66.683,66.2875,66.4852,532863
2017-12-27,66.4457,66.6928,66.3864,66.5347,1038585
2017-12-28,66.6731,66.7126,66.2579,66.683,607022
2017-12-29,66.8801,66.9594,66.3154,66.355,1064895
